Title,Company,Location,Country,SalaryMin,SalaryMax,Currency,ExperienceLevel,SourceUrl,SourceSite,PostedAt,ScrapedAt,IsActive
Head Accounts,FCG Tax Consultants LLC,"Nasr City, Cairo, Egypt",Egypt,1000.0,1500.0,USD,Senior,https://www.bayt.com/en/egypt/jobs/head-accounts-5454602/,bayt,2026-05-10T15:24:40.819895,2026-05-13T14:33:38.769544+00:00,True
Mobile Sales Applications Support Analyst,Confidential Company,"Heliopolis, Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/mobile-sales-applications-support-analyst-%D9%85%D8%AD%D9%84%D9%84-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D9%86%D9%82%D9%84%D8%A9-5454576/,bayt,2026-05-10T15:24:40.822391,2026-05-13T14:33:38.769544+00:00,True
Accountant,M- Marketing,"Cairo, Egypt",Egypt,25000.0,50000.0,EGP,Mid,https://www.bayt.com/en/egypt/jobs/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8-%D8%B9%D8%A7%D9%85-5453762/,bayt,2026-05-10T15:24:40.826394,2026-05-13T14:33:38.769544+00:00,True
Senior Marketing Specialist,RAY Technologies,"Cairo, Egypt",Egypt,,,USD,Senior,https://www.bayt.com/en/egypt/jobs/senior-marketing-specialist-5453243/,bayt,2026-05-10T15:24:40.827395,2026-05-13T14:33:38.769544+00:00,True
Accountant,A&A For projects,"Giza, Cairo, Egypt",Egypt,0.0,25000.0,EGP,Mid,https://www.bayt.com/en/egypt/jobs/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8-%D9%85%D8%A7%D9%84%D9%8A-5453045/,bayt,2026-05-10T15:24:40.829406,2026-05-13T14:33:38.769544+00:00,True
Financial Manager,Confidential Company,"Cairo, Egypt",Egypt,,,USD,Lead,https://www.bayt.com/en/egypt/jobs/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%8A-5453055/,bayt,2026-05-10T15:24:40.830402,2026-05-13T14:33:38.769544+00:00,True
Infrastructure Electrical Engineer - Technical Office,Confidential Company,"Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/infrastructure-electrical-engineer-technical-office-5453038/,bayt,2026-05-10T15:24:40.830402,2026-05-13T14:33:38.769544+00:00,True
Product Owner,Teracloud GmbH,"Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/product-owner-5452926/,bayt,2026-05-10T15:24:40.831396,2026-05-13T14:33:38.769544+00:00,True
TeleSales Specialist,Baseeta For Digital Solutions,"6th of October, Cairo, Egypt",Egypt,0.0,25000.0,EGP,Entry,https://www.bayt.com/en/egypt/jobs/telesales-specialist-5452897/,bayt,2026-05-10T15:24:40.832406,2026-05-13T14:33:38.769544+00:00,True
Administrative Assistant,خدمات أعمال,"Mokattam, Cairo, Egypt",Egypt,0.0,25000.0,EGP,Mid,https://www.bayt.com/en/egypt/jobs/%D9%85%D8%B3%D8%A7%D8%B9%D8%AF-%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A-5452783/,bayt,2026-05-10T15:24:40.833407,2026-05-13T14:33:38.769544+00:00,True
Architectural - Structural - Mechanical - Electrical Engineer,مكتب المنظور الشامل للاستشارات الهندسية,"Cairo, Egypt",Egypt,,,USD,Senior,https://www.bayt.com/en/egypt/jobs/%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D9%85%D8%B9%D9%85%D8%A7%D8%B1%D9%8A-%D8%A7%D9%86%D8%B4%D8%A7%D8%A6%D9%8A-%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83%D8%A7-%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A1-5437863/,bayt,2026-05-10T15:24:40.834397,2026-05-13T14:33:38.769544+00:00,True
Motion Graphics Designer,Centriq Company,"Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/motion-graphics-designer-5452544/,bayt,2026-05-10T15:24:40.836401,2026-05-13T14:33:38.769544+00:00,True
Global Sales and Marketing Assistant (Russian and English) [Fully remote],MegaEvolution Inc.,"Cairo, Egypt",Egypt,500.0,1000.0,USD,Entry,https://www.bayt.com/en/egypt/jobs/global-sales-and-marketing-assistant-russian-and-english-fully-remote-5452410/,bayt,2026-05-10T15:24:40.837401,2026-05-13T14:33:38.769544+00:00,True
Service Worker (Buffet and Cleaning),لويدز للانظمة الالكترونية والاتصالات والاستثمار,"Nasr City, Cairo, Egypt",Egypt,,,USD,Entry,https://www.bayt.com/en/egypt/jobs/%D8%B9%D8%A7%D9%85%D9%84-%D8%A8%D9%88%D9%81%D9%8A%D9%87-%D9%88-%D8%AE%D8%AF%D9%85%D8%A7%D8%AA-5451995/,bayt,2026-05-10T15:24:40.838401,2026-05-13T14:33:38.769544+00:00,True
E-commerce Manager,شركة زاد المعمار,"New Cairo, Cairo, Egypt",Egypt,0.0,25000.0,EGP,Lead,https://www.bayt.com/en/egypt/jobs/e-commerce-manager-5452099/,bayt,2026-05-10T15:24:40.839400,2026-05-13T14:33:38.769544+00:00,True
Sales Openers (Outbound Call Center),Pivot X,"Cairo, Egypt",Egypt,0.0,500.0,USD,Entry,https://www.bayt.com/en/egypt/jobs/sales-openers-outbound-call-center-5452108/,bayt,2026-05-10T15:24:40.840400,2026-05-13T14:33:38.769544+00:00,True
Tele Sales Representative,mobasher-agency,"Alexandria, Egypt",Egypt,,,USD,Entry,https://www.bayt.com/en/egypt/jobs/tele-sales-5452279/,bayt,2026-05-10T15:24:40.841404,2026-05-13T14:33:38.769544+00:00,True
Site Quality Manager,NRL,"Minya, Egypt",Egypt,,,USD,Lead,https://www.bayt.com/en/egypt/jobs/site-quality-manager-5452355/,bayt,2026-05-10T15:24:40.842411,2026-05-13T14:33:38.769544+00:00,True
Real Estate Sales Manager,Hayah Developments,"6th of October, Egypt",Egypt,0.0,25000.0,EGP,Lead,https://www.bayt.com/en/egypt/jobs/real-estate-sales-manager-5451688/,bayt,2026-05-10T15:24:40.843408,2026-05-13T14:33:38.769544+00:00,True
Mechanical Engineer,EGYPSCO PETROLEUM SERVICES,"Giza, Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/%D9%85%D9%87%D9%86%D8%AF%D8%B3-%D9%85%D9%8A%D9%83%D8%A7%D9%86%D9%8A%D9%83%D8%A7-5451788/,bayt,2026-05-10T15:24:40.845408,2026-05-13T14:33:38.769544+00:00,True
Bim Engineer,Confidential Company,"Cairo, Egypt",Egypt,50000.0,75000.0,EGP,Mid,https://www.bayt.com/en/egypt/jobs/bim-engineer-5451746/,bayt,2026-05-10T15:24:40.846408,2026-05-13T14:33:38.769544+00:00,True
Ios Developer,MyFatoorah,"Cairo, Egypt",Egypt,1500.0,2000.0,USD,Mid,https://www.bayt.com/en/egypt/jobs/ios-developer-5451473/,bayt,2026-05-10T15:24:40.847408,2026-05-13T14:33:38.769544+00:00,True
incoming tour operator,Travel Trails Tours,"Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/incoming-tour-operator-5451292/,bayt,2026-05-10T15:24:46.118280,2026-05-13T14:33:38.769544+00:00,True
Brand Ambassador,Serveline Consulting,"Cairo, Egypt",Egypt,500.0,1000.0,USD,Mid,https://www.bayt.com/en/egypt/jobs/brand-ambassador-5451243/,bayt,2026-05-10T15:24:46.120263,2026-05-13T14:33:38.769544+00:00,True
Planning Manager,Future Pipe Industries,"6th of October, Egypt",Egypt,,,USD,Lead,https://www.bayt.com/en/egypt/jobs/planning-manager-5451238/,bayt,2026-05-10T15:24:46.121264,2026-05-13T14:33:38.769544+00:00,True
Senior Mechanical Design Engineer,Pico Play,"Cairo, Egypt",Egypt,,,USD,Senior,https://www.bayt.com/en/egypt/jobs/senior-mechanical-design-engineer-5450885/,bayt,2026-05-10T15:24:46.122609,2026-05-13T14:33:38.769544+00:00,True
Assistant Manager - Events | Real Estate | Shared Services,Al Futtaim Group,"Cairo, Egypt",Egypt,,,USD,Lead,https://www.bayt.com/en/egypt/jobs/assistant-manager-events-real-estate-shared-services-5450686/,bayt,2026-05-10T15:24:46.123262,2026-05-13T14:33:38.769544+00:00,True
Assistant Manager - Audit,Al Futtaim Group,"Cairo, Egypt",Egypt,,,USD,Lead,https://www.bayt.com/en/egypt/jobs/assistant-manager-audit-5450665/,bayt,2026-05-10T15:24:46.127265,2026-05-13T14:33:38.769544+00:00,True
Senior Testing Engineer,Teracloud GmbH,"Cairo, Egypt",Egypt,1500.0,2000.0,USD,Senior,https://www.bayt.com/en/egypt/jobs/senior-testing-engineer-5450592/,bayt,2026-05-10T15:24:46.129773,2026-05-13T14:33:38.769544+00:00,True
Outdoor Sales Representative,Luxxa,"Giza, Cairo, Egypt",Egypt,,,USD,Mid,https://www.bayt.com/en/egypt/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-5450288/,bayt,2026-05-10T15:24:46.130773,2026-05-13T14:33:38.769544+00:00,True
